t,sensor_V,control_T,control_V,heat_range,heat_%
1560444934.5146556,+1.4887,+001.39,+1.7371,0,000
1560444952.5356362,+1.4888,+001.39,+1.7372,0,000
1560444970.556285,+1.4888,+001.39,+1.7371,0,000
1560444988.5772705,+1.4889,+001.39,+1.7370,0,000
1560445006.5981178,+1.4889,+001.39,+1.7369,0,000
1560445024.6190846,+1.4890,+001.39,+1.7370,0,000
1560445042.6400392,+1.4890,+001.39,+1.7372,0,000
1560445060.661222,+1.4891,+001.39,+1.7373,0,000
1560445078.6822784,+1.4891,+001.39,+1.7374,0,000
1560445096.7030535,+1.4891,+001.39,+1.7375,0,000
1560445114.7240672,+1.4892,+001.39,+1.7376,0,000
1560445132.7452102,+1.4892,+001.39,+1.7377,0,000
1560445150.765922,+1.4893,+001.39,+1.7378,0,000
1560445168.7868512,+1.4893,+001.39,+1.7378,0,000
1560445186.8079433,+1.4894,+001.39,+1.7380,0,000
1560445204.8289773,+1.4894,+001.39,+1.7381,0,000
1560445222.8497846,+1.4894,+001.39,+1.7381,0,000
1560445240.8708575,+1.4895,+001.39,+1.7382,0,000
1560445258.8915129,+1.4895,+001.39,+1.7383,0,000
1560445276.9116266,+1.4896,+001.39,+1.7383,0,000
1560445294.9324365,+1.4896,+001.39,+1.7383,0,000
1560445312.9536982,+1.4897,+001.39,+1.7384,0,000
1560445330.9746966,+1.4897,+001.39,+1.7384,0,000
1560445348.995669,+1.4897,+001.39,+1.7384,0,000
1560445367.0169957,+1.4897,+001.39,+1.7384,0,000
1560445385.0382142,+1.4897,+001.39,+1.7384,0,000
1560445403.0591679,+1.4898,+001.39,+1.7383,0,000
1560445421.080479,+1.4898,+001.39,+1.7383,0,000
1560445439.1011686,+1.4898,+001.39,+1.7383,0,000
1560445457.1201673,+1.4898,+001.39,+1.7383,0,000
1560445475.1413043,+1.4899,+001.39,+1.7383,0,000
1560445493.1624196,+1.4899,+001.39,+1.7383,0,000
1560445511.18322,+1.4899,+001.39,+1.7383,0,000
1560445529.2040598,+1.4899,+001.39,+1.7383,0,000
1560445547.2252486,+1.4899,+001.39,+1.7382,0,000
1560445565.246308,+1.4900,+001.39,+1.7382,0,000
1560445583.2671301,+1.4900,+001.39,+1.7382,0,000
1560445601.2882795,+1.4900,+001.39,+1.7383,0,000
1560445619.3094351,+1.4900,+001.39,+1.7383,0,000
1560445637.3303294,+1.4901,+001.39,+1.7383,0,000
1560445655.3514342,+1.4901,+001.39,+1.7383,0,000
1560445673.3724635,+1.4901,+001.39,+1.7384,0,000
1560445691.393247,+1.4902,+001.39,+1.7384,0,000
1560445709.4141085,+1.4902,+001.39,+1.7385,0,000
1560445727.4351997,+1.4902,+001.39,+1.7385,0,000
1560445745.4562647,+1.4902,+001.39,+1.7385,0,000
1560445763.477176,+1.4902,+001.39,+1.7386,0,000
1560445781.4982393,+1.4902,+001.39,+1.7386,0,000
1560445799.5192819,+1.4902,+001.39,+1.7386,0,000
1560445817.5380878,+1.4902,+001.39,+1.7386,0,000
1560445835.559189,+1.4903,+001.39,+1.7387,0,000
1560445853.5803487,+1.4903,+001.39,+1.7387,0,000
1560445871.6011896,+1.4903,+001.39,+1.7387,0,000
1560445889.6220162,+1.4903,+001.39,+1.7387,0,000
1560445907.6429527,+1.4903,+001.39,+1.7387,0,000
1560445925.6639562,+1.4903,+001.39,+1.7387,0,000
1560445943.6848547,+1.4903,+001.39,+1.7387,0,000
1560445961.7059176,+1.4903,+001.39,+1.7387,0,000
1560445979.7269642,+1.4903,+001.39,+1.7387,0,000
1560445997.7477698,+1.4903,+001.39,+1.7387,0,000
1560446015.7689297,+1.4904,+001.39,+1.7388,0,000
1560446033.790004,+1.4904,+001.39,+1.7387,0,000
1560446051.8107805,+1.4903,+001.39,+1.7387,0,000
1560446069.8317032,+1.4903,+001.39,+1.7387,0,000
1560446087.852846,+1.4903,+001.39,+1.7387,0,000
1560446105.8738887,+1.4904,+001.39,+1.7387,0,000
1560446123.8946433,+1.4904,+001.39,+1.7387,0,000
1560446141.9156811,+1.4904,+001.39,+1.7387,0,000
1560446159.9367726,+1.4904,+001.39,+1.7387,0,000
1560446177.9576595,+1.4904,+001.39,+1.7387,0,000
1560446195.9787526,+1.4904,+001.39,+1.7386,0,000
1560446213.999659,+1.4904,+001.39,+1.7387,0,000
1560446232.0202408,+1.4904,+001.39,+1.7387,0,000
1560446250.041255,+1.4904,+001.39,+1.7387,0,000
1560446268.0622745,+1.4904,+001.39,+1.7387,0,000
1560446286.083238,+1.4904,+001.39,+1.7387,0,000
1560446304.1040626,+1.4904,+001.39,+1.7385,0,000
1560446322.1251106,+1.4904,+001.39,+1.7384,0,000
1560446340.1460245,+1.4904,+001.39,+1.7381,0,000
1560446358.1668189,+1.4904,+001.39,+1.7383,0,000
1560446376.1878822,+1.4904,+001.39,+1.7385,0,000
1560446394.2089503,+1.4904,+001.39,+1.7386,0,000
1560446412.2297025,+1.4904,+001.39,+1.7384,0,000
1560446430.2507253,+1.4904,+001.39,+1.7383,0,000
1560446448.2717988,+1.4904,+001.39,+1.7382,0,000
1560446466.2928507,+1.4904,+001.39,+1.7382,0,000
1560446484.3137174,+1.4904,+001.39,+1.7381,0,000
1560446502.3347173,+1.4904,+001.39,+1.7380,0,000
1560446520.3555171,+1.4904,+001.39,+1.7380,0,000
1560446538.3764577,+1.4904,+001.39,+1.7379,0,000
1560446556.3975964,+1.4904,+001.39,+1.7379,0,000
1560446574.4176226,+1.4904,+001.39,+1.7379,0,000
1560446592.4384813,+1.4904,+001.39,+1.7379,0,000
1560446610.4595704,+1.4904,+001.39,+1.7379,0,000
1560446628.4806883,+1.4905,+001.39,+1.7380,0,000
1560446646.501462,+1.4905,+001.39,+1.7380,0,000
1560446664.522302,+1.4905,+001.39,+1.7380,0,000
1560446682.5434237,+1.4905,+001.39,+1.7381,0,000
1560446700.5640385,+1.4905,+001.39,+1.7381,0,000
1560446718.5849657,+1.4905,+001.39,+1.7381,0,000
1560446736.6061513,+1.4905,+001.39,+1.7381,0,000
1560446754.6272604,+1.4905,+001.39,+1.7381,0,000
1560446772.648148,+1.4905,+001.39,+1.7381,0,000
1560446790.666122,+1.4905,+001.39,+1.7381,0,000
1560446808.6871252,+1.4905,+001.39,+1.7380,0,000
1560446826.7080812,+1.4905,+001.39,+1.7381,0,000
1560446844.7289827,+1.4905,+001.39,+1.7381,0,000
1560446862.749922,+1.4905,+001.39,+1.7381,0,000
1560446880.7707243,+1.4905,+001.39,+1.7381,0,000
1560446898.7914906,+1.4905,+001.39,+1.7381,0,000
1560446916.8125567,+1.4905,+001.39,+1.7380,0,000
1560446934.8335865,+1.4905,+001.39,+1.7380,0,000
1560446952.8544621,+1.4905,+001.39,+1.7379,0,000
1560446970.8754344,+1.4906,+001.39,+1.7379,0,000
1560446988.8955715,+1.4906,+001.39,+1.7378,0,000
1560447006.916674,+1.4906,+001.39,+1.7377,0,000
1560447024.9375544,+1.4906,+001.39,+1.7376,0,000
1560447042.9589558,+1.4906,+001.39,+1.7375,0,000
1560447060.9799736,+1.4906,+001.39,+1.7375,0,000
