t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1561164011.7108066,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164033.7365663,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164055.7622545,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164077.7876813,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164099.8134267,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164121.837308,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164143.8627582,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164165.88781,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164187.913434,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164209.939167,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164231.9650738,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164253.9906435,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164276.0161269,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164298.0416813,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164320.0670404,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164342.0927439,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164364.1183062,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164386.1439362,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164408.1696637,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164430.195044,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164452.2207108,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164474.24641,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164496.2720408,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164518.2977283,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164540.3232405,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164562.3486993,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164584.3743916,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164606.4000533,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164628.425604,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164650.451295,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164672.4768598,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164694.502567,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164716.5282207,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164738.5536885,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164760.5793571,+0.5707,+296.3,+0.5278,0,000,+324.9
1561164782.604962,+0.5707,+296.3,+0.5278,0,000,+324.9
